# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:25
-keep class androidx.core.app.CoreComponentFactory { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:30
-keep class com.example.x_group.MainActivity { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:142
-keep class com.google.android.gms.auth.api.signin.RevocationBoundService { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:133
-keep class com.google.android.gms.auth.api.signin.internal.SignInHubActivity { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:167
-keep class com.google.android.gms.common.api.GoogleApiActivity { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:109
-keep class com.google.firebase.auth.internal.FederatedSignInActivity { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:76
-keep class com.google.firebase.components.ComponentDiscoveryService { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:158
-keep class com.google.firebase.iid.FirebaseInstanceIdReceiver { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:150
-keep class com.google.firebase.messaging.FirebaseMessagingService { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:172
-keep class com.google.firebase.provider.FirebaseInitProvider { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:55
-keep class com.sangcomz.fishbun.FishBunFileProvider { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:65
-keep class com.sangcomz.fishbun.ui.album.AlbumActivity { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:72
-keep class com.sangcomz.fishbun.ui.detail.DetailActivity { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:69
-keep class com.sangcomz.fishbun.ui.picker.PickerActivity { <init>(); }
# Referenced at E:\Blogsar_flutter_app\x_group\build\app\intermediates\merged_manifests\release\AndroidManifest.xml:25
